fire_name,centroid_lat,centroid_lon,asset_weight,fetch_radius_m,amenity,building,landuse
BEACHIE CREEK,44.7497917,-122.4152071,8.0,21280.0,school,,
BEACHIE CREEK,44.71953822540888,-122.21761075763426,1.5,21280.0,,industrial,
BEACHIE CREEK,44.71978488144069,-122.21756239201248,1.5,21280.0,,industrial,
BEACHIE CREEK,44.71970505,-122.21757255,1.5,21280.0,,industrial,
BEACHIE CREEK,44.71945668652531,-122.21762089847881,1.5,21280.0,,industrial,
BEACHIE CREEK,44.75006400600615,-122.41538362479855,8.0,21280.0,school,,
BEACHIE CREEK,44.75030284999999,-122.415998,8.0,21280.0,school,,
BEACHIE CREEK,44.74978861262788,-122.41587162248999,8.0,21280.0,school,,
BEACHIE CREEK,44.75009198426194,-122.41482087393611,8.0,21280.0,school,,
BEACHIE CREEK,44.702718964693325,-122.08137862553646,9.0,21280.0,fire_station,yes,
BEACHIE CREEK,44.69432892949657,-122.05480397336432,4.0,21280.0,,,residential
BEACHIE CREEK,44.698181644683515,-122.06833215097764,1.5,21280.0,,,industrial
BEACHIE CREEK,44.6976059072837,-122.07348973403857,4.0,21280.0,,,residential
BEACHIE CREEK,44.70089570729751,-122.08128920637527,4.0,21280.0,,,residential
LIONSHEAD,44.702718964693325,-122.08137862553646,9.0,21280.0,fire_station,yes,
LIONSHEAD,44.616319530294724,-121.94735260375063,4.0,21280.0,,residential,
LIONSHEAD,44.61659290944271,-121.94763367561623,4.0,21280.0,,residential,
LIONSHEAD,44.61746086520666,-121.9466962048071,4.0,21280.0,,residential,
LIONSHEAD,44.61738095162611,-121.9458513715731,4.0,21280.0,,residential,
LIONSHEAD,44.615607789472804,-121.94702456242662,4.0,21280.0,,residential,
LIONSHEAD,44.61689814999999,-121.94687694999999,4.0,21280.0,,residential,
LIONSHEAD,44.69432892949657,-122.05480397336432,4.0,21280.0,,,residential
LIONSHEAD,44.698181644683515,-122.06833215097764,1.5,21280.0,,,industrial
LIONSHEAD,44.6976059072837,-122.07348973403857,4.0,21280.0,,,residential
LIONSHEAD,44.70089570729751,-122.08128920637527,4.0,21280.0,,,residential
LIONSHEAD,44.45977277068383,-121.64912780211095,8.0,21280.0,school,school,
LIONSHEAD,44.47218222472238,-121.64105363757906,9.0,21280.0,fire_station,,
RIVERSIDE,45.3046562,-121.757218,8.0,20648.0,school,,
RIVERSIDE,45.30214282589995,-121.77698761851434,1.5,20648.0,,,industrial
RIVERSIDE,45.304978999999996,-121.75950189999999,9.0,20648.0,fire_station,yes,
RIVERSIDE,45.30355836681161,-121.76076599011061,4.0,20648.0,,,residential
RIVERSIDE,45.08199197434423,-122.04386186601316,4.0,20648.0,,,residential
RIVERSIDE,45.09150809442744,-122.06263541002946,1.5,20648.0,,,industrial
RIVERSIDE,45.295149956553715,-122.17676639981794,4.0,20648.0,,,residential
RIVERSIDE,45.29460923944906,-122.17970839921328,4.0,20648.0,,,residential
RIVERSIDE,45.24329122972296,-122.16504747749843,4.0,20648.0,,,residential
RIVERSIDE,45.300833993276896,-121.74234387962223,1.5,20648.0,,,industrial
ALMEDA DRIVE,42.5388889,-123.1633333,8.0,37100.0,school,,
ALMEDA DRIVE,42.4345324,-123.0549477,8.0,37100.0,school,,
ALMEDA DRIVE,42.5427778,-122.57,8.0,37100.0,school,,
ALMEDA DRIVE,42.379635,-122.9089685,8.0,37100.0,school,,
ALMEDA DRIVE,42.3730556,-122.9213889,8.0,37100.0,school,,
ALMEDA DRIVE,42.3861634,-122.9228233,8.0,37100.0,school,,
ALMEDA DRIVE,42.4565446,-122.8184579,8.0,37100.0,school,,
ALMEDA DRIVE,42.2538889,-123.1525,8.0,37100.0,school,,
ALMEDA DRIVE,41.9268087,-122.3644635,8.0,37100.0,school,,
ALMEDA DRIVE,41.9848634,-122.3575192,8.0,37100.0,school,,
ALMEDA DRIVE,41.9712525,-122.3622415,8.0,37100.0,school,,
ALMEDA DRIVE,42.4297681,-122.8344418,6.0,37100.0,police,,
ALMEDA DRIVE,42.318796,-122.834438,7.0,37100.0,clinic,,
ALMEDA DRIVE,42.3220205,-122.8787747,6.0,37100.0,police,,
ALMEDA DRIVE,42.3688281,-122.912886,9.0,37100.0,fire_station,,
ALMEDA DRIVE,42.3622779,-122.9063487,8.0,37100.0,school,,
ALMEDA DRIVE,42.3146992,-122.9648312,6.0,37100.0,police,,
ALMEDA DRIVE,42.5182402,-122.8141665,8.0,37100.0,school,,
ALMEDA DRIVE,42.3146538,-122.9672767,9.0,37100.0,fire_station,,
ALMEDA DRIVE,42.4297683,-123.1611371,9.0,37100.0,fire_station,,
ALMEDA DRIVE,42.1850783,-122.681845,9.0,37100.0,fire_station,,
ALMEDA DRIVE,42.1980728,-122.6903768,8.0,37100.0,school,,
ALMEDA DRIVE,42.1096495,-122.3997257,8.0,37100.0,school,,
ALMEDA DRIVE,42.335473,-122.8581833,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.245197,-122.7879703,7.0,37100.0,clinic,,
ALMEDA DRIVE,42.1851467,-122.6906929,7.0,37100.0,clinic,,
ALMEDA DRIVE,42.3629128,-122.8598721,7.0,37100.0,clinic,,
ALMEDA DRIVE,42.4732183,-122.8058869,6.0,37100.0,police,,
ALMEDA DRIVE,41.9033768,-122.5680561,9.0,37100.0,fire_station,,
ALMEDA DRIVE,42.5389821,-123.1520712,9.0,37100.0,fire_station,,
ALMEDA DRIVE,42.362651,-122.8798153,8.0,37100.0,school,,
ALMEDA DRIVE,42.3407854,-122.8682882,7.0,37100.0,clinic,,
ALMEDA DRIVE,42.2743054,-122.8171751,6.0,37100.0,police,,
ALMEDA DRIVE,42.168619147456404,-122.67297592835499,4.0,37100.0,,,residential
ALMEDA DRIVE,42.20948586661618,-122.70334092211543,4.0,37100.0,,,residential
ALMEDA DRIVE,42.20881601578695,-122.70154608230459,4.0,37100.0,,,residential
ALMEDA DRIVE,42.33196892909538,-122.8723025041587,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.32692856623895,-122.87116118128914,2.0,37100.0,,,commercial
ALMEDA DRIVE,42.34893711255316,-122.8682897705741,2.0,37100.0,social_facility,commercial,
ALMEDA DRIVE,42.31237841600213,-122.85851288196943,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.380137391010805,-122.93020983530973,4.0,37100.0,social_facility,residential,
ALMEDA DRIVE,42.37516754631557,-122.91700942956189,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.30154154039411,-122.90369568864067,4.0,37100.0,,,residential
ALMEDA DRIVE,42.29956377053189,-122.90298483303931,4.0,37100.0,,,residential
ALMEDA DRIVE,42.29411678295117,-122.83981453713571,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.2892934623258,-122.83699479431122,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.28957328436693,-122.83734297220205,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.289851983983105,-122.83769360325837,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.290133434770745,-122.83804008852961,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.29056231593704,-122.8385124293667,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.290931521875876,-122.83896959956546,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.28911781729597,-122.83769252367323,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.29048055338086,-122.83918566713086,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.289518744100455,-122.8381860826405,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.20930878822098,-122.70024669077743,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.31596809124506,-122.84262068353843,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.31571283594413,-122.84262094847314,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.315458225384425,-122.84262049980273,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.34579206953776,-122.86895092105296,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.34579887877733,-122.86838108330132,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.349548440673104,-122.8684020611639,5.0,37100.0,social_facility,apartments,
ALMEDA DRIVE,42.34300175625163,-122.87095673970533,5.0,37100.0,social_facility,apartments,
ALMEDA DRIVE,42.34941770619492,-122.83504946891541,4.0,37100.0,,,residential
ALMEDA DRIVE,41.99410646787721,-122.61219930284186,1.5,37100.0,,,industrial
ALMEDA DRIVE,42.19409244695513,-122.70847454737017,9.0,37100.0,fire_station,yes,
ALMEDA DRIVE,42.19679530215812,-122.7160521013756,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.19496468616148,-122.71109223267834,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.33976504969501,-122.86347393214274,10.0,37100.0,hospital,,
ALMEDA DRIVE,42.34247770033094,-122.87191664987809,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.34320219988464,-122.87270113731145,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.31325769993325,-122.86022134636191,2.0,37100.0,fast_food,commercial,
ALMEDA DRIVE,42.342074768137536,-122.87104113068747,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.3442077542445,-122.87163862476521,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.24528363546668,-122.78826339687097,2.0,37100.0,dentist,commercial,
ALMEDA DRIVE,42.24452334999999,-122.78734879999998,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.2363561334039,-122.76897505379975,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.24040906665874,-122.7759535001738,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.237056862055645,-122.76983884102634,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.243768515827774,-122.78675017858687,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.2377167,-122.7694638,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.24019377752787,-122.7742836792734,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.23967137429586,-122.7726480224082,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.2366446209592,-122.76763512953349,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.24316930124471,-122.7794634368769,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.246582496696,-122.78557933633013,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.24572047755218,-122.78507148131621,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.27833150790772,-122.8219905355674,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.3082841887264,-122.86902550539929,8.0,37100.0,school,,
ALMEDA DRIVE,42.43079525051188,-123.160989681865,4.0,37100.0,,,residential
ALMEDA DRIVE,42.290140647058124,-122.83809218429025,4.0,37100.0,,,residential
ALMEDA DRIVE,42.468285063919225,-122.79401917416946,4.0,37100.0,,,residential
