IncidentName,FireDiscoveryDateTime,DiscoveryAcres,FinalAcres,IncidentSize,InitialLatitude,InitialLongitude,POOCounty,POOState,FireCause,FireBehaviorGeneral,FireMgmtComplexity,PredominantFuelModel,PredominantFuelGroup,EstimatedCostToDate,EstimatedFinalCost,PercentContained,terrain_slope_pct,road_distance_km,terrain_enriched
BOLT CREEK,1662820500000,14820.0,,14820.0,47.75788,-121.3085,King,US-WA,Human,Minimal,Type 3 Incident,,,14565000.0,16000000.0,80.0,39.2,,1.0
BURDOIN,1752874140000,1258.0,,10675.0,45.775303,-121.27009,Klickitat,US-WA,Human,Minimal,,,,19195106.0,,95.0,6.2,,1.0
THORP ROAD,1720189869000,1000.0,,2112.0,46.527678,-120.44864,Yakima,US-WA,Human,Minimal,,,,500000.0,,90.0,17.8,,1.0
SAWMILL CREEK,1504578600000,500.0,,1061.0,47.17772,-121.425,King,US-WA,Human,Active,Type 1 Incident,,,4500000.0,,99.0,32.7,,1.0
MCEWAN,1688504820000,210.0,,250.0,47.26518,-123.0563,Mason,US-WA,Undetermined,Minimal,Type 3 Incident,,,1850000.0,,85.0,2.7,,1.0
SAND SPRING,1532285447000,200.0,,200.0,45.75675,-120.3985,Klickitat,US-WA,Human,,,,,,,,5.6,,1.0
SILVER  DOLLAR,1499027640000,200.0,,30974.0,45.73207,-121.5176,Yakima,US-WA,Undetermined,Minimal,Type 4 Incident,,,1100000.0,,100.0,12.0,,1.0
DOUGHTY,1753835880000,200.0,,200.0,45.742338,-120.398385,Klickitat,US-WA,Undetermined,,,,,,,,2.4,,1.0
Wishram,1438718178000,178.0,,178.0,45.666401,-120.939796,Klickitat,US-WA,Human,,,,,,,,24.0,,1.0
FRUIT VALLEY,1599601688000,166.0,,166.0,45.64606,-122.7031,Clark,US-WA,Human,,,,,,,,1.3,,1.0
MOUNTS RD,1691941478000,150.0,,150.0,47.01722,-122.6181,Pierce,US-WA,Undetermined,,,,,,,,1.2,,1.0
BOHOSKEY,1724104560000,150.0,,200.0,46.628075,-120.393526,Yakima,US-WA,Undetermined,,,,,,,,18.3,,1.0
ELBOW,1661884800000,107.0,,55.0,48.91423,-120.9062,Whatcom,US-WA,Undetermined,Minimal,Type 1 Incident,,,0.0,10000.0,0.0,42.0,,1.0
MARYHILL,1499209646000,100.0,,20.0,45.67447,-120.854,Klickitat,US-WA,Undetermined,,,,,,,,12.7,,1.0
LOOPS,1537049422000,100.0,,150.0,45.71495,-120.7921,Klickitat,US-WA,Unknown,,,,,,,,12.7,,1.0
BLACK HOLE,1665956820000,100.0,,323.25,45.97536,-122.2359,Skamania,US-WA,Undetermined,Minimal,Type 3 Incident,,,300000.0,,25.0,22.9,0.64,1.0
PARKE CREEK,1567027040000,100.0,,100.0,46.97866,-120.3368,Kittitas,US-WA,Unknown,,,,,,,,9.2,0.49,1.0
KONNOWAC,1596497820000,100.0,,1083.0,46.51312,-120.3651,Yakima,US-WA,Unknown,Minimal,Type 4 Incident,,,300000.0,,99.0,6.7,0.21,1.0
Riley,1436478360000,100.0,,65.0,46.232399,-121.582199,Skamania,US-WA,Natural,,,,,2315096.0,,100.0,13.8,0.85,1.0
Cougar Creek,1439267308000,100.0,,53523.0,45.7763,-121.2674,Yakima,US-WA,Undetermined,,,,,,,,6.1,0.3,1.0
NEWELL GRADE,1530205860000,100.0,,227.8,45.83027,-120.3777,Klickitat,US-WA,Unknown,Minimal,Type 3 Incident,,,250000.0,,100.0,6.9,0.24,1.0
Dalles Mountain,1465286400000,100.0,,55.0,45.64502,-121.1039,Klickitat,US-WA,Human,,,,,,,,8.0,0.19,1.0
SADDLE MOUNTAIN,1686094500000,100.0,,619.0,45.700541,-120.81262,Franklin,US-WA,Human,Minimal,Type 4 Incident,,,40000.0,,25.0,15.6,0.38,1.0
KNIGHT,1689286500000,100.0,,128.0,45.875376,-120.874597,Klickitat,US-WA,Undetermined,,,,,,,,4.0,0.49,1.0
NEWELL ROAD,1689978900000,100.0,,60551.0,45.830956,-120.458913,Klickitat,US-WA,Undetermined,Minimal,Type 2 Incident,,,8895351.0,9900000.0,100.0,9.2,2.16,1.0
